Date,to_station_name,Count,starttime_wday,Max_Temperature_F,Mean_Temperature_F,Min_TemperatureF,Max_Dew_Point_F,MeanDew_Point_F,Min_Dewpoint_F,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_Pressure_In,Mean_Sea_Level_Pressure_In,Min_Sea_Level_Pressure_In,Max_Visibility_Miles,Mean_Visibility_Miles,Min_Visibility_Miles,Max_Wind_Speed_MPH,Mean_Wind_Speed_MPH,Max_Gust_Speed_MPH,Precipitation_In,Events
2014/10/13,Occidental Park / Occidental Ave S & S Washington St,31,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,18,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,City Hall / 4th Ave & James St,6,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,1st Ave & Marion St,26,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,2nd Ave & Spring St,26,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,6th Ave S & S King St,10,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,E Pine St & 16th Ave,12,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,11,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Westlake Ave & 6th Ave,12,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,2nd Ave & Pine St,11,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Cal Anderson Park / 11th Ave & Pine St,12,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,2,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Children's Hospital / Sandpoint Way NE & 40th Ave NE,8,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,3rd Ave & Broad St,8,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Pier 69 / Alaskan Way & Clay St,17,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,2nd Ave & Vine St,11,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,12th Ave & NE Campus Pkwy,4,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,7th Ave & Union St,16,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,UW Intramural Activities Building,7,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,5,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,2nd Ave & Blanchard St,6,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,6th Ave & Blanchard St,3,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,UW McCarty Hall / Whitman Ct,2,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Burke Museum / E Stevens Way NE & Memorial Way NE,2,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,9th Ave N & Mercer St,2,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Dexter Ave & Denny Way,5,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,NE 42nd St & University Way NE,5,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Frye Art Museum / Terry Ave & Columbia St,3,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,E Harrison St & Broadway Ave E,18,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,4,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Key Arena / 1st Ave N & Harrison St,11,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,REI / Yale Ave N & John St,6,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Harvard Ave & E Pine St,6,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,12th Ave & E Mercer St,14,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,15th Ave E & E Thomas St,11,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,PATH / 9th Ave & Westlake Ave,3,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Lake Union Park / Valley St & Boren Ave N,7,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,15th Ave NE & NE 40th St,4,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,NE 47th St & 12th Ave NE,4,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Republican St & Westlake Ave N,5,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Eastlake Ave E & E Allison St,5,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Dexter Ave N & Aloha St,5,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
2014/10/13,Pine St & 9th Ave,1,Mon,71,62,54,55,51,46,87,68,46,30.03,29.79,29.65,10,10,4,13,4,21,0,Rain
